id,title,type,price,price_formatted,area_hectares,area_m2,city,state,reference_code,url,description_raw
TN2W4S,Fazenda Em Cristalandia Tocantins Com Area De 803 Ha R 22400000 Cod Tn2W4S,Fazenda,22400000,"R$ 22.400.000,00",803.0,,Cristalandia,TO,TN2W4S,https://chaozao.com.br/imovel/fazenda-em-cristalandia-tocantins-com-area-de-803-ha-r-22400000-cod-tn2w4s/TN2W4S,fazenda-em-cristalandia-tocantins-com-area-de-803-ha-r-22400000-cod-tn2w4s
XL3LGQ,Chacara Em Igarata Sao Paulo Com Area De 8397 M R 235000 Cod Xl3Lgq,Chácara,235000,"R$ 235.000,00",,8397.0,Igarata,SAO,XL3LGQ,https://chaozao.com.br/imovel/chacara-em-igarata-sao-paulo-com-area-de-8397-m-r-235000-cod-xl3lgq/XL3LGQ,chacara-em-igarata-sao-paulo-com-area-de-8397-m-r-235000-cod-xl3lgq
5WN66M,Fazenda Em Pium Tocantins Com Area De 50336 Ha R 13000000 Cod 5Wn66M,Fazenda,13000000,"R$ 13.000.000,00",50336.0,,Pium,TO,5WN66M,https://chaozao.com.br/imovel/fazenda-em-pium-tocantins-com-area-de-50336-ha-r-13000000-cod-5wn66m/5WN66M,fazenda-em-pium-tocantins-com-area-de-50336-ha-r-13000000-cod-5wn66m
MFSAT1,Sitio Em Pocone Mato Grosso Com Area De 53 Ha R 12000000 Cod Mfsat1,Sítio,12000000,"R$ 12.000.000,00",53.0,,Pocone,MT,MFSAT1,https://chaozao.com.br/imovel/sitio-em-pocone-mato-grosso-com-area-de-53-ha-r-12000000-cod-mfsat1/MFSAT1,sitio-em-pocone-mato-grosso-com-area-de-53-ha-r-12000000-cod-mfsat1
OKTT1U,Sitio Em Crominia Goias Com Area De 4598 Ha R 3500000 Cod Oktt1U,Sítio,3500000,"R$ 3.500.000,00",4598.0,,Crominia,GO,OKTT1U,https://chaozao.com.br/imovel/sitio-em-crominia-goias-com-area-de-4598-ha-r-3500000-cod-oktt1u/OKTT1U,sitio-em-crominia-goias-com-area-de-4598-ha-r-3500000-cod-oktt1u
T01Y5D,Fazenda Em Diamantino Mato Grosso Com Area De 21000 Ha R 450000000 Cod T01Y5D,Fazenda,450000000,"R$ 450.000.000,00",21000.0,,Diamantino,MT,T01Y5D,https://chaozao.com.br/imovel/fazenda-em-diamantino-mato-grosso-com-area-de-21000-ha-r-450000000-cod-t01y5d/T01Y5D,fazenda-em-diamantino-mato-grosso-com-area-de-21000-ha-r-450000000-cod-t01y5d
XUSEYF,Fazenda Em Paranapanema Sao Paulo Com Area De 1137 Ha R 8500000 Cod Xuseyf,Fazenda,8500000,"R$ 8.500.000,00",1137.0,,Paranapanema,SAO,XUSEYF,https://chaozao.com.br/imovel/fazenda-em-paranapanema-sao-paulo-com-area-de-1137-ha-r-8500000-cod-xuseyf/XUSEYF,fazenda-em-paranapanema-sao-paulo-com-area-de-1137-ha-r-8500000-cod-xuseyf
Q1QGSC,Fazenda Em Chapadao Do Sul Mato Grosso Do Sul Com Area De 457 Ha R 17000000 Cod Q1Qgsc,Fazenda,17000000,"R$ 17.000.000,00",457.0,,Chapadao,DO,Q1QGSC,https://chaozao.com.br/imovel/fazenda-em-chapadao-do-sul-mato-grosso-do-sul-com-area-de-457-ha-r-17000000-cod-q1qgsc/Q1QGSC,fazenda-em-chapadao-do-sul-mato-grosso-do-sul-com-area-de-457-ha-r-17000000-cod-q1qgsc
CQC8TS,Chacara Em Cascalho Rico Minas Gerais Com Area De 4000 M R 350000 Cod Cqc8Ts,Chácara,350000,"R$ 350.000,00",,4000.0,Cascalho,RICO,CQC8TS,https://chaozao.com.br/imovel/chacara-em-cascalho-rico-minas-gerais-com-area-de-4000-m-r-350000-cod-cqc8ts/CQC8TS,chacara-em-cascalho-rico-minas-gerais-com-area-de-4000-m-r-350000-cod-cqc8ts
5RK9T6,Sitio Em Sarapui Sao Paulo Com Area De 5566 Ha R 8000000 Cod 5Rk9T6,Sítio,8000000,"R$ 8.000.000,00",5566.0,,Sarapui,SAO,5RK9T6,https://chaozao.com.br/imovel/sitio-em-sarapui-sao-paulo-com-area-de-5566-ha-r-8000000-cod-5rk9t6/5RK9T6,sitio-em-sarapui-sao-paulo-com-area-de-5566-ha-r-8000000-cod-5rk9t6
